[2025-01-15 20:42:31] INFO django.utils.autoreload Watching for file changes with StatReloader
[2025-01-15 21:11:04] INFO django.utils.autoreload Watching for file changes with StatReloader
[2025-01-19 11:47:46] WARNING django.request Bad Request: /graphql/
[2025-01-19 11:47:46] WARNING django.server "POST /graphql/ HTTP/1.1" 400 172
[2025-01-19 11:47:48] INFO django.server "POST /graphql/ HTTP/1.1" 200 27
[2025-01-19 11:47:49] INFO django.server "POST /graphql/ HTTP/1.1" 200 29
[2025-01-19 11:47:53] INFO django.server "POST /graphql/ HTTP/1.1" 200 27
[2025-01-19 11:47:57] WARNING django.request Bad Request: /graphql/
[2025-01-19 11:47:57] WARNING django.server "POST /graphql/ HTTP/1.1" 400 172
[2025-01-19 11:48:03] INFO django.server "POST /graphql/ HTTP/1.1" 200 27
[2025-01-19 11:51:58] INFO django.server "POST /graphql/ HTTP/1.1" 200 548
[2025-01-19 11:52:02] INFO django.server "POST /graphql/ HTTP/1.1" 200 584
[2025-01-19 11:55:47] INFO django.server "POST /graphql/ HTTP/1.1" 200 548
[2025-01-19 11:55:53] INFO django.server "POST /graphql/ HTTP/1.1" 200 584
[2025-01-19 11:57:00] INFO django.server "POST /graphql/ HTTP/1.1" 200 548
[2025-01-19 11:57:06] INFO django.server "POST /graphql/ HTTP/1.1" 200 584
[2025-01-19 11:57:11] INFO django.server "POST /graphql/ HTTP/1.1" 200 548
[2025-01-19 21:12:50] INFO django.utils.autoreload Watching for file changes with StatReloader
[2025-01-19 21:13:17] INFO django.server "GET / HTTP/1.1" 302 0
[2025-01-19 21:13:17] INFO django.server "GET /admin/ HTTP/1.1" 302 0
[2025-01-19 21:13:18] INFO django.server "GET /admin/login/?next=/admin/ HTTP/1.1" 200 3818
[2025-01-19 21:13:18] INFO django.server "GET /static/admin/css/base.css HTTP/1.1" 304 0
[2025-01-19 21:13:18] INFO django.server "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
[2025-01-19 21:13:18] INFO django.server "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
[2025-01-19 21:13:18] INFO django.server "GET /static/admin_persian/css/sahel.css HTTP/1.1" 304 0
[2025-01-19 21:13:18] INFO django.server "GET /static/admin/css/login.css HTTP/1.1" 304 0
[2025-01-19 21:13:18] INFO django.server "GET /static/admin/css/rtl.css HTTP/1.1" 304 0
[2025-01-19 21:13:18] INFO django.server "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
[2025-01-19 21:13:18] INFO django.server "GET /static/admin/css/responsive_rtl.css HTTP/1.1" 304 0
[2025-01-19 21:13:18] INFO django.server "GET /static/admin/js/theme.js HTTP/1.1" 304 0
[2025-01-19 21:13:18] INFO django.server "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
[2025-01-19 21:13:18] INFO django.server "GET /static/admin_persian/fonts/sahel/Sahel.woff HTTP/1.1" 304 0
[2025-01-19 21:13:18] WARNING django.request Not Found: /favicon.ico
[2025-01-19 21:13:18] WARNING django.server "GET /favicon.ico HTTP/1.1" 404 2507
[2025-01-19 21:17:21] INFO django.server "OPTIONS /graphql/ HTTP/1.1" 200 0
[2025-01-19 21:17:21] INFO django.server "POST /graphql/ HTTP/1.1" 200 23
[2025-01-19 21:17:34] INFO django.server "POST /graphql/ HTTP/1.1" 200 82
[2025-01-19 21:17:35] INFO django.server "POST /graphql/ HTTP/1.1" 200 72
[2025-01-19 21:17:35] INFO django.server "POST /graphql/ HTTP/1.1" 200 39
[2025-01-19 21:19:42] INFO django.server "POST /graphql/ HTTP/1.1" 200 147
[2025-01-19 21:19:46] INFO django.server "POST /graphql/ HTTP/1.1" 200 548
[2025-01-19 21:19:48] INFO django.server "POST /graphql/ HTTP/1.1" 200 548
[2025-01-19 21:19:56] INFO django.server "POST /graphql/ HTTP/1.1" 200 548
[2025-01-19 21:20:34] INFO django.server "POST /graphql/ HTTP/1.1" 200 72
[2025-01-19 21:20:34] INFO django.server "POST /graphql/ HTTP/1.1" 200 39
[2025-01-19 21:21:55] INFO django.server "POST /graphql/ HTTP/1.1" 200 257
[2025-01-19 21:22:02] INFO django.server "POST /graphql/ HTTP/1.1" 200 1117
[2025-01-19 22:25:14] INFO django.utils.autoreload C:\Users\Lion\Desktop\yekikame\YekiKameDjango_Org\Eventapp\schema.py changed, reloading.
[2025-01-19 22:25:15] INFO django.utils.autoreload Watching for file changes with StatReloader
[2025-01-19 22:25:34] INFO django.utils.autoreload C:\Users\Lion\Desktop\yekikame\YekiKameDjango_Org\Eventapp\schema.py changed, reloading.
[2025-01-19 22:25:35] INFO django.utils.autoreload Watching for file changes with StatReloader
[2025-01-19 22:28:24] INFO django.server "POST /graphql/ HTTP/1.1" 200 1117
[2025-01-19 22:28:29] WARNING django.request Bad Request: /graphql/
[2025-01-19 22:28:29] WARNING django.server "POST /graphql/ HTTP/1.1" 400 156
[2025-01-19 22:28:31] INFO django.server "POST /graphql/ HTTP/1.1" 200 1117
[2025-01-19 22:28:33] INFO django.server "POST /graphql/ HTTP/1.1" 200 23
[2025-01-19 22:28:48] INFO django.server "POST /graphql/ HTTP/1.1" 200 1117
[2025-01-19 22:28:49] WARNING django.request Bad Request: /graphql/
[2025-01-19 22:28:49] WARNING django.server "POST /graphql/ HTTP/1.1" 400 156
[2025-01-19 22:29:29] INFO django.server "POST /graphql/ HTTP/1.1" 200 23
